"Navigate","Open from Clipboard","⇧⌘V","In Windows","org.eclipse.jdt.debug.ui.command.OpenFromClipboard"
"Source","Organize Imports","⇧⌘O","In Windows","org.eclipse.jdt.ui.edit.text.java.organize.imports"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⌥⇧↓","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskReadGoToNextUnread"
"Edit","Select Previous Element","⌥⇧←","Editing JET Source","org.eclipse.jdt.ui.edit.text.java.select.previous"
"Text Editing","Select Line End","⇧⌘→","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.remove.block.comment"
"Text Editing","Text Start","⌘↖","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows","org.eclipse.jdt.ui.navigate.open.type.in.hierarchy"
"Text Editing","Text Start","↖","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows","org.eclipse.jdt.junit.junitShortcut.run"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering","org.eclipse.debug.ui.command.gotoaddress"
"Window","Update Maven Project","⌥F5","In Windows","org.eclipse.m2e.core.ui.command.updateProject"
"Database Tools","Debug","⌥⌘D","Editing SQL","org.eclipse.datatools.sqltools.sqleditor.debugAction"
"Window","Previous View","⇧⌘F7","In Windows","org.eclipse.ui.window.previousView"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows","org.eclipse.jdt.ui.edit.text.java.extract.local.variable"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected","org.eclipse.terminal.command1"
"Navigate","Open Attached Javadoc","⇧F2","In Windows","org.eclipse.jdt.ui.edit.text.java.open.external.javadoc"
"Navigate","Open Declaration","F3","In Windows","org.eclipse.jdt.ui.edit.text.java.open.editor"
"File","Properties","⌥↩","In Windows","org.eclipse.ui.file.properties"
"Navigate","Show In...","⌥⌘W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"Run/Debug","Debug on Server","⌥⇧D R","In Windows","org.eclipse.wst.server.launchShortcut.debug"
"File","New menu","⌥⌘N","In Windows","org.eclipse.ui.file.newQuickMenu"
"Window","Next View","⌘F7","In Windows","org.eclipse.ui.window.nextView"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.toggleMarkOccurrences"
"Git","Rename Branch...","F2","In Git Repositories View","org.eclipse.egit.ui.team.RenameBranch"
"Text Editing","Select Line Start","⇧⌘←","Editing Text","org.eclipse.ui.edit.text.select.lineStart"
"TM4E Language Configuration","Add Block Comment","⌃⌘/","Editing Text","org.eclipse.tm4e.languageconfiguration.addBlockCommentCommand"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.navigate.java.open.structure"
"Uncategorized","Find References","⇧⌘G","in Generic Code Editor","org.eclipse.ui.genericeditor.findReferences"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor","org.eclipse.pde.ui.edit.text.format"
"TM4E Language Configuration","Remove Block Comment","⌃⌘\","Editing Text","org.eclipse.tm4e.languageconfiguration.removeBlockCommentCommand"
"Run/Debug","Step Into Selection","⌥F5","Debugging","org.eclipse.jdt.debug.ui.commands.StepIntoSelection"
"Views","Show View (Console)","⌥⌘Q C","In Windows","org.eclipse.ui.views.showView"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context","org.eclipse.mylyn.wikitext.ui.quickOutlineCommand"
"Window","Show System Menu","⇧⌘F10","In Windows","org.eclipse.ui.window.showSystemMenu"
"Text Editing","Zoom Out","⌘-","Editing Text","org.eclipse.ui.edit.text.zoomOut"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows","org.eclipse.jdt.junit.junitShortcut.debug"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows","org.eclipse.ui.window.showContextMenu"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows","org.eclipse.pde.ui.runtimeWorkbenchShortcut.run"
"Text Editing","Toggle Overwrite","Insert","Editing Text","org.eclipse.ui.edit.text.toggleOverwrite"
"Language Servers","Unfold All","⇧⌘Numpad_Multiply","in Generic Code Editor","org.eclipse.lsp4e.folding.expandAll"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.goto.previous.member"
"Terminal view commands","Terminal view insert","⌥G","Terminal Typing Connected","org.eclipse.terminal.command1"
"Window","Show Contributing Plug-in","⌥⇧F3","In Dialogs and Windows","org.eclipse.ui.window.spy"
"Refactor - Java","Rename - Refactoring ","⌥⇧R","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.rename.element"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected","org.eclipse.terminal.command1"
"Window","Quick Switch Editor","⌘E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected","org.eclipse.terminal.command1"
"Navigate","Open Type","⇧⌘T","Editing Java Source","org.eclipse.jdt.ui.navigate.open.type"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor","org.eclipse.mylyn.task.ui.editor.QuickOutline"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.correction.assignToLocal.assist"
"Window","Close Dialog","⌘W","In Dialogs","org.eclipse.ui.cocoa.closeDialog"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.remove.occurrence.annotations"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text","org.eclipse.ui.edit.text.smartEnter"
"Focused UI","Focus on Active Task","⌥⇧H","In Windows","org.eclipse.mylyn.context.ui.commands.toggle.focus.active.view"
"Run/Debug","Coverage SWTBot Test","⌥⇧E S","In Windows","org.eclipse.eclemma.ui.swtBotJunitShortcut.coverage"
"Task Editor","Submit Task","⌥⇧S","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.submitTask"
"Git","Commit...","⌥⌘3","In Windows","org.eclipse.egit.ui.team.Commit"
"Edit","Select Previous Element","⌃⇧←","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.previous"
"Edit","Cut","⌘X","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Edit","Add Maven Plugin","⌃⇧P","Editing XML Source","org.eclipse.m2e.core.ui.command.addPlugin"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.collapse_all"
"Run/Debug","Resume","F8","Debugging","org.eclipse.debug.ui.commands.Resume"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles","org.eclipse.ant.ui.toggleMarkOccurrences"
"Navigate","Open Resource","⇧⌘R","In Windows","org.eclipse.ui.navigate.openResource"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"Edit","Select Enclosing Element","⌥⇧↑","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.enclosing"
"Navigate","Open External JSDoc","⇧F2","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.external.javadoc"
"Views","Show View","⌥⌘Q Q","In Windows","org.eclipse.ui.views.showView"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.add.block.comment"
"Navigate","Open Declaration","F3","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.editor"
"TM4E Language Configuration","Add Block Comment","⇧⌘/","Editing Text","org.eclipse.tm4e.languageconfiguration.addBlockCommentCommand"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context","org.eclipse.mylyn.wikitext.ui.quickOutlineCommand"
"EMF Code Generation","Generate Code","⌥⇧G","In Windows","org.eclipse.emf.codegen.ecore.ui.Generate"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.restore"
"Run/Debug","Use Step Filters","⇧F5","In Windows","org.eclipse.debug.ui.commands.ToggleStepFilters"
"Edit","Select Next Element","⌥⇧→","Editing JET Source","org.eclipse.jdt.ui.edit.text.java.select.next"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor","org.eclipse.ui.part.previousPage"
"TM4E Language Configuration","Toggle Line Comment","⇧⌘C","Editing Text","org.eclipse.tm4e.languageconfiguration.toggleLineCommentCommand"
"File","Print","⌘P","In Windows","org.eclipse.ui.file.print"
"Focused UI","Show Context Quick View","⌥⇧⌘→","In Windows","org.eclipse.mylyn.context.ui.commands.open.context.dialog"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.surround.with.quickMenu"
"Task Repositories","Show Tooltip Description","F4","In Tasks View","org.eclipse.mylyn.tasks.ui.command.showToolTip"
"Views","Show View (Variables)","⌥⌘Q V","In Windows","org.eclipse.ui.views.showView"
"Language Servers","Format","⇧⌘F","Editing Text","org.eclipse.lsp4e.format"
"Window","Next Editor","⌘F6","In Windows","org.eclipse.ui.window.nextEditor"
"Edit","Rename","⌥⇧R","Editing JSP Source","org.eclipse.jst.jsp.ui.refactor.rename"
"File","Save","⌘S","In Windows","org.eclipse.ui.file.save"
"Text Editing","Move Lines Up","⌥↑","Editing Text","org.eclipse.ui.edit.text.moveLineUp"
"Window","Maximize Active View or Editor","⌃M","In Windows","org.eclipse.ui.window.maximizePart"
"Source","Toggle Comment","⌘7","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows","org.eclipse.ui.navigate.expandAll"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering","org.eclipse.debug.ui.command.nextpage"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows","org.eclipse.ui.views.showView"
"Edit","Restore Last Selection","⌥⇧↓","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.last"
"Window","Show Ruler Context Menu","⌘F10","Editing Text","org.eclipse.ui.edit.text.showRulerContextMenu"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.call.hierarchy"
"Window","Previous Editor","⇧⌘F6","In Windows","org.eclipse.ui.window.previousEditor"
"Source","Toggle Comment","⌘/","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment"
"Server","Publish","⌥⌘P","In Servers View","org.eclipse.wst.server.publish"
"JET Source Actions","Format","⇧⌘F","Editing JET Source","org.eclipse.codegen.ui.jet.format"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskUnread"
"Project","Build All","⌘B","In Windows","org.eclipse.ui.project.buildAll"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.correction.renameInFile.assist"
"Edit","Previous Sibling","⌃⇧↑","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.previousSibling"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View","org.eclipse.mylyn.tasks.ui.command.goToPreviousUnread"
"Navigate","Previous Page","⌥⇧F7","In Windows","org.eclipse.ui.part.previousPage"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskRead"
"Navigate","Next Edit Location","⌃⌥→","In Windows","org.eclipse.ui.edit.text.gotoNextEditPosition"
"Navigate","Goto Matching Bracket","⇧⌘P","Editing JET Source","org.eclipse.emf.codegen.ui.jet.goto.matching.bracket"
"File","Save All","⇧⌘S","In Windows","org.eclipse.ui.file.saveAll"
"Run/Debug","Step Return","F7","Debugging","org.eclipse.debug.ui.commands.StepReturn"
"Edit","Select Next Element","⌃⇧→","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.next"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source","org.eclipse.jdt.ui.edit.text.remove.occurrence.annotations"
"Source","Add Javadoc Comment","⌥⌘J","In Windows","org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment"
"Window","Toggle Full Screen","⌃⌘F","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.goto.matching.bracket"
"Task Repositories","New Subtask","⇧Insert","In Tasks View","org.eclipse.mylyn.tasks.ui.command.new.subtask"
"Language Servers","Open Call Hierarchy","⌃⌥H","in Generic Code Editor","org.eclipse.lsp4e.openCallHierarchy"
"Edit","Select Enclosing Element","⌃⇧⇞","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.enclosing"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.correction.assignToField.assist"
"Refactor - Java","Extract Method","⌥⌘M","In Windows","org.eclipse.jdt.ui.edit.text.java.extract.method"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows","org.eclipse.jdt.ui.edit.text.java.rename.element"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View","org.eclipse.buildship.ui.commands.refreshtaskview"
"Text Editing","Text End","⌘↘","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.quick_outline"
"Edit","Content Assist","⌥/","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Window","Activate Editor","⌘F12","In Windows","org.eclipse.ui.window.activateEditor"
"File","Refresh","F5","In Windows","org.eclipse.ui.file.refresh"
"Terminal view commands","Terminal view insert","⌥T","Terminal Typing Connected","org.eclipse.terminal.command1"
"Views","Show View","⌥⌘Q T","In Windows","org.eclipse.ui.views.showView"
